VOLL,Demand_Segment,Cost_of_Demand_Curtailment_per_MMBTU,Max_Demand_Curtailment,CO2_tons_per_MMBTU,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,z1,z2,z3
,,,,,,,,222,265207.6190897551,168140.24011156746,66795.80629979658
,,,,,,,,223,267579.4256686553,165381.08895423336,68359.41321694228
,,,,,,,,224,246055.79446978966,156078.78349561387,64885.842272302165
,,,,,,,,225,264131.2959723561,167377.68302787136,66592.09926374763
,,,,,,,,226,262539.10732286,167615.08477614698,64154.12207577175
,,,,,,,,227,266345.0333999861,167461.5444474725,67168.12604874051
,,,,,,,,228,267897.1978302405,167052.1743738693,67073.36180381718
,,,,,,,,229,263959.0152972739,166792.3112770879,66210.68600253962
,,,,,,,,230,262416.8568361193,166777.3166199239,65346.95587868364
,,,,,,,,231,244468.34362665805,161377.02433989476,64648.82116722231
,,,,,,,,232,263977.9466793977,173872.27816257082,66508.28836787729
,,,,,,,,233,265787.06502839806,177100.13969444664,73548.5647590259
,,,,,,,,234,263901.6815572813,176748.19507618505,76299.70403791686
,,,,,,,,235,269258.08648772084,172314.33263222346,71923.68966225562
,,,,,,,,236,276704.578385685,174781.7429735791,72720.82007922043
,,,,,,,,237,284877.7643142415,171874.2811433571,74544.32911242882
,,,,,,,,238,257871.17744771938,159868.6280203992,66256.65055394212
,,,,,,,,239,275386.7732714921,168450.41457216878,70544.2634714779
,,,,,,,,240,268763.6565513768,170034.22102790565,66761.32277990415
,,,,,,,,241,271456.2545089107,173609.74319384288,66500.77841659424
,,,,,,,,242,271009.2639648529,176915.3859657842,67209.72213039118
,,,,,,,,243,272131.90313006204,173706.48389854847,67237.46692354724
,,,,,,,,244,283452.4503248613,168046.26923453115,69153.58888641969
,,,,,,,,245,268840.74574264593,164104.4198246405,66768.53918583364
,,,,,,,,246,295816.50814584934,184243.03210680085,75490.13378373695
,,,,,,,,247,289129.25005071564,182784.1553143378,73338.56436871403
,,,,,,,,248,286410.9972680773,176961.03438877588,73921.2106688304
,,,,,,,,249,301391.43157223065,181558.41452792642,74433.1402731454
,,,,,,,,250,301919.9588526091,178991.08900438275,73721.90232946542
,,,,,,,,251,282875.7849772536,174806.55636460974,73926.18124731223
,,,,,,,,252,262483.1662054329,160261.18525152505,69861.70498102123
,,,,,,,,253,292052.8791018989,178609.86328859665,74491.06429028297
,,,,,,,,254,286763.98281505646,184749.28129471393,72335.57569343712
,,,,,,,,255,295018.3264462123,178358.19804721183,74287.75992492565
,,,,,,,,256,290136.6267908025,175514.9844434107,72924.3673914854
,,,,,,,,257,282083.99030244636,179763.23092331795,72626.96053957258
,,,,,,,,258,274066.64824630297,188619.0784489627,73926.71945931032
,,,,,,,,259,265129.9400884357,168180.76377979136,74864.17016564272
,,,,,,,,260,354772.6319244212,179858.37980075335,74130.69294327272
,,,,,,,,261,296930.33087095135,187650.2325334868,71685.81510202188
,,,,,,,,262,298676.13082955556,190504.9207954749,74967.04343444832
,,,,,,,,263,291210.0185249213,194556.8031071007,77841.83377958392
,,,,,,,,264,288493.16760964715,185328.13982997017,74373.45979332103
,,,,,,,,265,314289.45866974717,181525.70415152016,79848.92991961821
,,,,,,,,266,311353.49997365085,180647.42033105518,82353.68589401044
,,,,,,,,267,354061.60518985504,197193.8085659634,92076.19847857651
,,,,,,,,268,344422.76341979456,184129.92409322466,104401.55383401616
,,,,,,,,269,344234.40355859796,197633.34491759143,94030.5127724745
,,,,,,,,270,326544.5034133028,192111.4140069849,77070.38552631532
,,,,,,,,271,333090.829701409,184016.35691228253,89589.22611276642
,,,,,,,,272,366408.17722298263,198235.2582735614,105264.90754811496
,,,,,,,,273,327213.9818359072,219950.433999896,92670.77287008225
,,,,,,,,274,381118.1302132867,245169.3620256596,101635.30966418369
,,,,,,,,275,399439.25008413836,210185.76831376576,96293.49252657194
,,,,,,,,276,412768.5689684331,202095.17098517597,98570.13496341594
,,,,,,,,277,358455.5069879588,197211.93831632438,107880.95607749386
,,,,,,,,278,413006.5133063058,216057.89835103537,94361.85066994528
,,,,,,,,279,496517.17523688433,248622.12350126286,107653.36670839373
,,,,,,,,280,535509.670198056,231254.44563780993,102242.561802369
,,,,,,,,281,510906.8713757871,250212.4803170181,111906.28787183088
,,,,,,,,282,390636.9128640592,238660.85667637654,117476.49959904973
,,,,,,,,283,483535.4049237249,242320.68091429357,116084.68770201439
,,,,,,,,284,488391.1153711275,275552.9513069644,120497.1806089719
,,,,,,,,285,482110.2335789452,270160.75846069277,111726.60717554986
,,,,,,,,286,412112.03480118397,242584.8682579893,112943.64109690308
,,,,,,,,287,352187.8958107281,255821.9722008882,110331.03076291055
,,,,,,,,288,430659.1490345349,230559.40213450923,124960.92250472789
,,,,,,,,289,474918.51815809566,244866.63084648817,119407.7780937839
,,,,,,,,290,549404.82198423,269538.97931093816,112785.23333846695
,,,,,,,,291,592500.5059414521,271309.13180224656,132582.25281883572
,,,,,,,,292,574379.4844943947,323222.27785248304,124841.18647943345
,,,,,,,,293,508300.8269296037,278494.28559955163,134544.19025761838
,,,,,,,,294,469504.6945443005,266711.31743684283,123787.2176539615
,,,,,,,,295,475136.66281799995,279693.36367839755,135229.3876548605
,,,,,,,,296,497533.67449483904,315330.80960936483,132498.23967082077
,,,,,,,,297,515652.4736427567,282285.10039450927,145197.35635690694
,,,,,,,,298,551409.7309287072,256850.0554068776,159752.47948805784
,,,,,,,,299,590471.939889312,319258.4697367351,135059.6469427952
,,,,,,,,300,594508.0209551519,335319.9720151009,117497.67178990679
