VOLL,Demand_Segment,Cost_of_Demand_Curtailment_per_MMBTU,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,tons_CO2_per_MMBTU,Time_Index,z1,z2,z3
,,,,,,,,161,381727.0763,164730.8994,61512.3366
,,,,,,,,162,432077.7378,171031.5249,71487.13759
,,,,,,,,163,487058.7524,170101.9503,88826.30338
,,,,,,,,164,456990.8254,176222.3927,76244.76806
,,,,,,,,165,445482.0549,179534.124,75104.01455
,,,,,,,,166,521920.8629,183900.8623,91246.81058
,,,,,,,,167,463102.7091,177924.489,82865.76981
,,,,,,,,168,389546.5875,164220.026,71472.02466
,,,,,,,,169,406928.6073,170415.6821,69131.34313
,,,,,,,,170,403749.5268,169733.1197,67132.16932
,,,,,,,,171,408047.8191,168520.5577,67391.18445
,,,,,,,,172,405955.7307,168583.5689,65160.03544
,,,,,,,,173,401587.0931,167527.2799,64946.77245
,,,,,,,,174,393485.9241,164703.1449,66092.23584
,,,,,,,,175,366461.1755,155098.9997,61375.79335
,,,,,,,,176,392296.0254,166875.1769,64914.74236
,,,,,,,,177,392596.7936,166165.4866,64066.6924
,,,,,,,,178,394082.6502,166502.8098,64594.47722
,,,,,,,,179,394364.5374,167358.8979,63506.37779
,,,,,,,,180,393455.2431,165790.5022,63742.33026
,,,,,,,,181,389824.3812,164703.5495,62806.93602
,,,,,,,,182,349166.4671,155294.4024,61741.32083
,,,,,,,,183,379184.8642,168740.5711,66804.16157
,,,,,,,,184,377186.0922,167148.231,64892.47842
,,,,,,,,185,373438.7101,166770.2179,64319.88606
,,,,,,,,186,370149.274,167372.1927,65020.39211
,,,,,,,,187,371920.4209,168307.2264,65165.13846
,,,,,,,,188,369231.2114,168034.9586,64885.09521
,,,,,,,,189,345432.8121,157794.5894,61713.63117
,,,,,,,,190,370911.4525,166111.9379,65075.31122
,,,,,,,,191,369463.3739,165981.9722,63970.62858
,,,,,,,,192,370253.7169,167564.5226,66507.95997
,,,,,,,,193,375866.4609,170158.147,66306.94684
,,,,,,,,194,370333.7854,167842.2799,65065.6252
,,,,,,,,195,371570.5181,164855.7678,64214.20915
,,,,,,,,196,340788.8676,155415.5261,60671.92771
,,,,,,,,197,367056.5428,166129.7236,64051.19482
,,,,,,,,198,367128.3956,166122.784,64597.3604
,,,,,,,,199,367922.8958,165811.6063,64087.59839
,,,,,,,,200,366258.6424,166262.7873,65383.15782
,,,,,,,,201,367736.8776,167547.851,64350.638
,,,,,,,,202,367196.1501,164993.6108,64370.71619
,,,,,,,,203,335547.0982,153510.8055,60282.86895
,,,,,,,,204,365779.9932,166255.0831,64301.28579
,,,,,,,,205,366428.1653,166325.3528,64229.75098
,,,,,,,,206,370961.2547,165746.4519,65415.47578
,,,,,,,,207,370182.3387,168361.6414,66001.71702
,,,,,,,,208,367287.009,169862.5988,64357.62138
,,,,,,,,209,365127.8933,165242.7269,63968.07002
,,,,,,,,210,341812.0004,153703.2013,60235.30197
,,,,,,,,211,370550.2952,165773.7322,64357.10972
,,,,,,,,212,365107.5362,166475.3841,63768.28397
,,,,,,,,213,364763.993,168154.4496,64077.97351
,,,,,,,,214,364765.1422,167219.1019,64726.04857
,,,,,,,,215,363824.8342,166621.4719,64768.58871
,,,,,,,,216,358822.9564,165963.7191,63709.50123
,,,,,,,,217,334778.8788,158730.3794,61740.0628
,,,,,,,,218,369241.7623,171401.9056,66057.85151
,,,,,,,,219,372087.0689,174129.2774,65642.33768
,,,,,,,,220,375210.5745,173856.8139,66611.49243
,,,,,,,,221,371306.5662,169542.2889,69117.79589
,,,,,,,,222,364738.2148,167886.6335,66795.8063
,,,,,,,,223,367394.9616,165127.4824,68359.41322
,,,,,,,,224,338461.0154,155825.1769,64885.84227
,,,,,,,,225,365694.1511,167124.0764,66592.09926
,,,,,,,,226,362219.6041,167361.4782,64154.12208
,,,,,,,,227,366465.5548,167207.9378,67168.12605
,,,,,,,,228,369453.5974,166798.5678,67073.3618
,,,,,,,,229,364421.8209,166538.7047,66210.686
,,,,,,,,230,361724.1272,166523.71,65346.95588
,,,,,,,,231,337435.6586,161123.4177,64648.82117
,,,,,,,,232,364899.0108,173618.6716,66508.28837
,,,,,,,,233,367307.3479,176846.5331,73548.56476
,,,,,,,,234,365739.0321,176494.5885,76299.70404
,,,,,,,,235,374266.2161,172060.726,71923.68966
,,,,,,,,236,383883.2356,174528.1364,72720.82008
,,,,,,,,237,388479.6015,171620.6745,74544.32911
,,,,,,,,238,350991.2529,159615.0214,66256.65055
,,,,,,,,239,375112.057,168196.808,70544.26347
,,,,,,,,240,370732.7443,169780.6144,66761.32278
,,,,,,,,241,375069.9679,173356.1366,66500.77842
,,,,,,,,242,378168.3636,176661.7794,67209.72213
,,,,,,,,243,381917.6698,173452.8773,67237.46692
,,,,,,,,244,397842.5001,167784.2091,69153.58889
,,,,,,,,245,372568.7426,163842.3597,66768.53919
,,,,,,,,246,405442.8239,183980.972,75490.13378
,,,,,,,,247,395122.8356,182522.0952,73338.56437
,,,,,,,,248,394351.6807,176698.9742,73921.21067
,,,,,,,,249,411001.5855,181296.3544,74433.14027
,,,,,,,,250,411093.7556,178729.0288,73721.90233
,,,,,,,,251,387896.3552,174544.4962,73926.18125
,,,,,,,,252,360772.9257,159999.1251,69861.70498
,,,,,,,,253,399061.8541,178347.8031,74491.06429
,,,,,,,,254,398079.5266,184487.2211,72335.57569
,,,,,,,,255,415996.5246,178096.1379,74287.75992
,,,,,,,,256,412121.9912,175252.9243,72924.36739
,,,,,,,,257,402708.0074,179501.1708,72626.96054
,,,,,,,,258,390802.3845,188357.0183,73926.71946
,,,,,,,,259,377756.3269,167918.7036,74864.17017
,,,,,,,,260,482660.6514,179596.3196,74130.69294
,,,,,,,,261,415865.8168,187388.1724,71685.8151
,,,,,,,,262,427659.9966,190242.8606,74967.04343
,,,,,,,,263,414157.1846,194294.743,77841.83378
,,,,,,,,264,400255.299,185066.0797,74373.45979
,,,,,,,,265,435959.9302,181263.644,79848.92992
,,,,,,,,266,431835.9978,180385.3602,82353.68589
,,,,,,,,267,468834.4389,196931.7484,92076.19848
,,,,,,,,268,459420.5874,183867.8639,104401.5538
,,,,,,,,269,475963.3217,197371.2848,94030.51277
,,,,,,,,270,454841.8735,191849.3539,77070.38553
,,,,,,,,271,450196.1547,183754.2968,89589.22611
,,,,,,,,272,496351.4254,197973.1981,105264.9075
,,,,,,,,273,461302.1958,219688.3738,92670.77287
,,,,,,,,274,521858.632,244915.7554,101635.3097
,,,,,,,,275,537208.5595,209932.1617,96293.49253
,,,,,,,,276,559497.1008,201841.5644,98570.13496
,,,,,,,,277,499737.6774,196958.3317,107880.9561
,,,,,,,,278,566674.7334,215804.2917,94361.85067
,,,,,,,,279,670402.1791,248368.5169,107653.3667
,,,,,,,,280,686582.2629,231000.839,102242.5618
,,,,,,,,281,666471.9083,249958.8737,111906.2879
,,,,,,,,282,563175.2405,238407.2501,117476.4996
,,,,,,,,283,684636.9665,242067.0743,116084.6877
,,,,,,,,284,695530.1978,275299.3447,120497.1806
,,,,,,,,285,684823.449,269907.1519,111726.6072
,,,,,,,,286,573888.9861,242331.2617,112943.6411
,,,,,,,,287,522285.1004,255568.3656,110331.0308
,,,,,,,,288,589454.8729,230305.7955,124960.9225
,,,,,,,,289,648476.8361,244613.0242,119407.7781
,,,,,,,,290,728637.012,269285.3727,112785.2333
,,,,,,,,291,768166.5428,271055.5252,132582.2528
,,,,,,,,292,782290.944,322968.6712,124841.1865
,,,,,,,,293,722796.7058,278240.679,134544.1903
,,,,,,,,294,631786.6439,266457.7108,123787.2177
,,,,,,,,295,684680.3356,279439.7571,135229.3877
,,,,,,,,296,740037.7643,315077.203,132498.2397
,,,,,,,,297,731281.3442,282031.4938,145197.3564
,,,,,,,,298,750976.1374,256596.4488,159752.4795
,,,,,,,,299,815843.5458,319004.8631,135059.6469
,,,,,,,,300,793034.4523,335066.3654,117497.6718
,,,,,,,,301,732507.0628,325573.076,116797.3043
,,,,,,,,302,814024.1134,351827.6246,152657.7807
,,,,,,,,303,775541.1209,293523.9474,153909.8814
,,,,,,,,304,909524.3577,325813.2081,154945.0641
,,,,,,,,305,773290.3491,275220.029,111985.8372
,,,,,,,,306,753497.3559,237455.242,122270.4577
,,,,,,,,307,761620.2387,228690.1814,145620.0384
,,,,,,,,308,829962.6212,295649.1814,145814.5418
,,,,,,,,309,821732.7042,403294.7647,204343.9877
,,,,,,,,310,739360.3171,373521.5893,174573.3959
,,,,,,,,311,815995.3224,343197.8943,142581.9105
,,,,,,,,312,945214.6133,379674.1765,170690.0437
,,,,,,,,313,942714.6715,359261.9687,157881.7416
,,,,,,,,314,946871.1381,422147.8928,167995.5784
,,,,,,,,315,1.00E+06,452791.1295,188279.457
,,,,,,,,316,1.15E+06,534712.62,169100.3706
